iter	Passed	Remaining
0	2	234
1	4	211
2	5	192
3	7	174
4	8	170
5	10	170
6	12	167
7	14	164
8	15	160
9	17	157
10	19	154
11	20	151
12	22	148
13	23	145
14	25	141
15	26	139
16	27	135
17	28	131
18	30	129
19	31	127
20	33	125
21	34	123
22	36	121
23	37	120
24	39	118
25	41	117
26	42	116
27	44	115
28	46	113
29	48	112
30	49	110
31	51	109
32	53	107
33	54	106
34	56	105
35	58	103
36	59	102
37	61	100
38	63	98
39	64	96
40	66	95
41	66	92
42	68	90
43	69	88
44	71	86
45	72	84
46	73	83
47	75	81
48	76	79
49	77	77
50	79	75
51	80	74
52	81	72
53	82	70
54	83	68
55	84	66
56	85	64
57	86	62
58	87	61
59	89	59
60	90	57
61	91	56
62	92	54
63	93	52
64	94	51
65	95	49
66	96	47
67	97	46
68	98	44
69	99	42
70	100	41
71	101	39
72	102	38
73	103	36
74	104	34
75	105	33
76	106	31
77	107	30
78	108	28
79	109	27
80	109	25
81	110	24
82	111	22
83	112	21
84	113	19
85	113	18
86	114	17
87	115	15
88	116	14
89	117	13
90	117	11
91	118	10
92	119	8
93	120	7
94	120	6
95	121	5
96	122	3
97	123	2
98	123	1
99	124	0
